Flow,t0,t0_iso,dt0,pa,da,v,dv,minv,maxv,halo
0025,2024/12/15 19:48,2024-12-15T19_48_00.000000000,01,259,020,0268,0031,0217,0325,
0024,2024/12/15 16:00,2024-12-15T16_00_00.000000000,01,156,010,0409,0035,0372,0466,
0023,2024/12/15 15:48,2024-12-15T15_48_00.000000000,02,252,018,0286,0078,0214,0440,
0022,2024/12/15 15:12,2024-12-15T15_12_00.000000000,01,234,010,0238,0083,0200,0419,
0021,2024/12/15 04:12,2024-12-15T04_12_00.000000000,00,066,042,1953,0000,1953,1953,
0020,2024/12/15 03:24,2024-12-15T03_24_00.000000000,01,254,014,0392,0045,0310,0480,
0019,2024/12/14 21:00,2024-12-14T21_00_00.000000000,01,259,012,0197,0061,0124,0279,
0018,2024/12/14 19:00,2024-12-14T19_00_00.000000000,00,251,016,0231,0067,0103,0286,
0017,2024/12/14 12:06,2024-12-14T12_06_00.000000000,01,169,016,0113,0000,0113,0114,
0016,2024/12/14 11:48,2024-12-14T11_48_00.000000000,02,231,020,0128,0023,0106,0163,
0015,2024/12/12 08:48,2024-12-12T08_48_00.000000000,01,082,026,0219,0042,0178,0331,
0014,2024/12/12 08:24,2024-12-12T08_24_00.000000000,01,209,028,0271,0058,0171,0385,
0013,2024/12/12 04:24,2024-12-12T04_24_00.000000000,01,093,008,0204,0009,0188,0208,
0012,2024/12/11 19:18,2024-12-11T19_18_00.000000000,01,068,006,0214,0007,0201,0218,
0011,2024/12/11 11:48,2024-12-11T11_48_00.000000000,01,075,012,0134,0000,0134,0134,
0010,2024/12/11 06:48,2024-12-11T06_48_00.000000000,01,021,032,0257,0015,0234,0286,
0009,2024/12/11 04:12,2024-12-11T04_12_00.000000000,01,010,010,0253,0021,0205,0260,
0008,2024/12/10 11:24,2024-12-10T11_24_00.000000000,01,017,008,0351,0029,0306,0376,
0007,2024/12/10 04:48,2024-12-10T04_48_00.000000000,01,058,010,0093,0000,0093,0093,
0006,2024/12/10 02:24,2024-12-10T02_24_00.000000000,02,032,018,0110,0006,0105,0119,
0005,2024/12/08 20:36,2024-12-08T20_36_00.000000000,01,297,008,0359,0065,0237,0372,
0004,2024/12/07 08:12,2024-12-07T08_12_00.000000000,03,268,026,0218,0158,0108,0589,
0003,2024/12/07 01:36,2024-12-07T01_36_00.000000000,01,257,016,0400,0010,0390,0422,
0002,2024/12/02 17:24,2024-12-02T17_24_00.000000000,01,331,008,0129,0000,0129,0130,
0001,2024/12/02 09:48,2024-12-02T09_48_00.000000000,00,120,018,0274,0000,0274,0274,
0021,2025/01/31 22:24,2025-01-31T22_24_00.000000000,01,049,012,0170,0024,0128,0206,
0020,2025/01/30 17:30,2025-01-30T17_30_00.000000000,01,268,046,0297,0025,0233,0328,
0019,2025/01/29 11:24,2025-01-29T11_24_00.000000000,00,248,010,0238,0023,0212,0281,
0018,2025/01/27 06:12,2025-01-27T06_12_00.000000000,01,259,008,0129,0010,0110,0134,
0017,2025/01/27 02:24,2025-01-27T02_24_00.000000000,01,258,030,0261,0061,0175,0395,
0016,2025/01/26 14:48,2025-01-26T14_48_00.000000000,01,124,026,0240,0068,0135,0318,
0015,2025/01/25 14:24,2025-01-25T14_24_00.000000000,01,116,018,0364,0050,0328,0446,
0014,2025/01/25 00:36,2025-01-25T00_36_00.000000000,02,259,044,0220,0024,0172,0269,
0013,2025/01/24 23:36,2025-01-24T23_36_00.000000000,01,254,038,0224,0030,0148,0284,
0012,2025/01/24 20:24,2025-01-24T20_24_00.000000000,01,125,008,0236,0167,0132,0538,
0011,2025/01/24 17:36,2025-01-24T17_36_00.000000000,02,112,034,0199,0093,0107,0443,
0010,2025/01/23 07:12,2025-01-23T07_12_00.000000000,02,119,028,0260,0045,0191,0299,
0009,2025/01/22 16:24,2025-01-22T16_24_00.000000000,01,153,012,0452,0054,0363,0520,
0008,2025/01/19 01:37,2025-01-19T01_37_00.000000000,00,238,010,0431,0079,0292,0521,
0007,2025/01/09 17:12,2025-01-09T17_12_00.000000000,02,104,014,1201,0000,1201,1201,
0006,2025/01/08 01:25,2025-01-08T01_25_00.000000000,01,187,016,0440,0087,0298,0578,
0005,2025/01/07 09:48,2025-01-07T09_48_00.000000000,01,199,032,0300,0064,0159,0372,
0004,2025/01/07 04:24,2025-01-07T04_24_00.000000000,01,324,026,0273,0025,0224,0312,
0003,2025/01/06 06:24,2025-01-06T06_24_00.000000000,01,340,010,0136,0012,0110,0146,
0002,2025/01/06 01:36,2025-01-06T01_36_00.000000000,01,150,006,1838,0000,1838,1838,
0001,2025/01/04 21:30,2025-01-04T21_30_00.000000000,01,260,014,0355,0123,0153,0480,
0027,2025/02/28 23:30,2025-02-28T23_30_00.000000000,02,312,026,0361,0105,0228,0558,
0026,2025/02/28 20:12,2025-02-28T20_12_00.000000000,06,236,054,0141,0194,0103,0651,
0025,2025/02/28 18:40,2025-02-28T18_40_00.000000000,01,076,078,1893,0000,1893,1893,
0024,2025/02/28 08:00,2025-02-28T08_00_00.000000000,01,032,010,0391,0231,0249,0844,
0023,2025/02/28 04:36,2025-02-28T04_36_00.000000000,01,322,018,0260,0020,0224,0290,
0022,2025/02/27 15:24,2025-02-27T15_24_00.000000000,01,268,006,0268,0055,0209,0347,
0021,2025/02/26 22:24,2025-02-26T22_24_00.000000000,01,352,026,0218,0051,0178,0312,
0020,2025/02/26 09:12,2025-02-26T09_12_00.000000000,01,218,014,0274,0133,0202,0589,
0019,2025/02/25 23:48,2025-02-25T23_48_00.000000000,01,226,014,0411,0081,0270,0568,
0018,2025/02/25 17:36,2025-02-25T17_36_00.000000000,02,251,016,0301,0135,0112,0459,
0017,2025/02/25 16:00,2025-02-25T16_00_00.000000000,02,218,014,0600,0235,0231,0976,
0016,2025/02/25 02:12,2025-02-25T02_12_00.000000000,01,286,010,0437,0043,0372,0496,
0015,2025/02/25 00:24,2025-02-25T00_24_00.000000000,01,262,006,0320,0072,0188,0363,
0014,2025/02/23 20:24,2025-02-23T20_24_00.000000000,01,039,008,1953,0000,1953,1953,
0013,2025/02/22 08:48,2025-02-22T08_48_00.000000000,01,306,014,0202,0128,0161,0512,
0012,2025/02/20 02:48,2025-02-20T02_48_00.000000000,01,050,030,0334,0159,0157,0679,
0011,2025/02/20 02:24,2025-02-20T02_24_00.000000000,01,208,014,0199,0029,0179,0248,
0010,2025/02/17 02:36,2025-02-17T02_36_00.000000000,01,125,008,0679,0000,0679,0679,
0009,2025/02/15 22:36,2025-02-15T22_36_00.000000000,01,127,008,0138,0020,0107,0161,
0008,2025/02/15 17:00,2025-02-15T17_00_00.000000000,03,192,014,0446,0027,0395,0459,
0007,2025/02/11 09:48,2025-02-11T09_48_00.000000000,02,075,016,0100,0000,0100,0100,
0006,2025/02/05 14:00,2025-02-05T14_00_00.000000000,01,076,010,0175,0067,0104,0299,
0005,2025/02/05 03:36,2025-02-05T03_36_00.000000000,01,268,014,0252,0067,0140,0339,
0004,2025/02/04 19:30,2025-02-04T19_30_00.000000000,01,213,012,0228,0001,0228,0230,
0003,2025/02/03 04:24,2025-02-03T04_24_00.000000000,02,184,006,0110,0073,0103,0256,
0002,2025/02/03 02:48,2025-02-03T02_48_00.000000000,01,177,008,0158,0063,0103,0264,
0001,2025/02/01 21:48,2025-02-01T21_48_00.000000000,01,216,010,0197,0045,0120,0254,
0023,2025/03/30 15:00,2025-03-30T15_00_00.000000000,01,309,012,0234,0053,0148,0256,
0022,2025/03/28 23:48,2025-03-28T23_48_00.000000000,00,074,010,0344,0087,0224,0422,
0021,2025/03/28 08:12,2025-03-28T08_12_00.000000000,02,212,014,0109,0006,0106,0124,
0020,2025/03/28 05:49,2025-03-28T05_49_00.000000000,02,222,010,0174,0009,0164,0190,
0019,2025/03/25 11:24,2025-03-25T11_24_00.000000000,00,261,008,0133,0000,0133,0133,
0018,2025/03/23 10:24,2025-03-23T10_24_00.000000000,01,085,008,0520,0000,0520,0520,
0017,2025/03/22 21:48,2025-03-22T21_48_00.000000000,04,247,012,0098,0042,0097,0182,
0016,2025/03/22 08:48,2025-03-22T08_48_00.000000000,02,313,020,0449,0142,0223,0762,
0015,2025/03/21 12:36,2025-03-21T12_36_00.000000000,02,028,006,0126,0000,0126,0126,
0014,2025/03/20 04:24,2025-03-20T04_24_00.000000000,01,263,032,0208,0040,0122,0226,
0013,2025/03/20 03:36,2025-03-20T03_36_00.000000000,01,277,012,0341,0112,0218,0538,
0012,2025/03/19 21:36,2025-03-19T21_36_00.000000000,01,126,030,1953,0000,1953,1953,
0011,2025/03/19 17:00,2025-03-19T17_00_00.000000000,01,355,012,0458,0141,0303,0710,
0010,2025/03/18 02:36,2025-03-18T02_36_00.000000000,01,006,014,0260,0023,0224,0286,
0009,2025/03/17 07:12,2025-03-17T07_12_00.000000000,01,021,032,0176,0025,0128,0212,
0008,2025/03/17 05:42,2025-03-17T05_42_00.000000000,01,012,006,0134,0006,0124,0143,
0007,2025/03/17 01:36,2025-03-17T01_36_00.000000000,05,022,042,0114,0007,0103,0130,
0006,2025/03/12 06:36,2025-03-12T06_36_00.000000000,01,042,018,0474,0000,0474,0474,
0005,2025/03/02 16:00,2025-03-02T16_00_00.000000000,01,007,012,0184,0000,0184,0184,
0004,2025/03/02 14:00,2025-03-02T14_00_00.000000000,01,175,016,0411,0108,0248,0568,
0003,2025/03/02 03:36,2025-03-02T03_36_00.000000000,02,172,014,0286,0072,0195,0422,
0002,2025/03/02 03:12,2025-03-02T03_12_00.000000000,01,151,008,0236,0032,0181,0268,
0001,2025/03/01 10:36,2025-03-01T10_36_00.000000000,00,207,008,0169,0035,0136,0231,
0032,2025/04/30 00:24,2025-04-30T00_24_00.000000000,00,126,030,1644,0000,1644,1644,
0031,2025/04/29 03:24,2025-04-29T03_24_00.000000000,00,344,018,0273,0106,0092,0314,
0030,2025/04/26 07:06,2025-04-26T07_06_00.000000000,04,346,050,0102,0003,0099,0111,
0029,2025/04/24 09:48,2025-04-24T09_48_00.000000000,01,316,006,0188,0058,0129,0256,
0028,2025/04/24 02:24,2025-04-24T02_24_00.000000000,02,291,008,0103,0007,0100,0117,
0027,2025/04/23 12:36,2025-04-23T12_36_00.000000000,02,233,020,0193,0106,0106,0428,
0026,2025/04/22 16:36,2025-04-22T16_36_00.000000000,03,033,044,0378,0105,0175,0558,
0025,2025/04/22 16:24,2025-04-22T16_24_00.000000000,02,293,012,0294,0007,0284,0303,
0024,2025/04/22 07:12,2025-04-22T07_12_00.000000000,02,110,014,0267,0117,0103,0529,
0023,2025/04/21 16:36,2025-04-21T16_36_00.000000000,02,262,006,0212,0765,0100,1736,
0022,2025/04/15 19:00,2025-04-15T19_00_00.000000000,02,076,026,1077,0494,0294,1953,
0021,2025/04/14 16:48,2025-04-14T16_48_00.000000000,02,171,040,0249,0071,0103,0411,
0020,2025/04/14 05:00,2025-04-14T05_00_00.000000000,01,279,008,0127,0048,0104,0221,
0019,2025/04/12 21:24,2025-04-12T21_24_00.000000000,02,194,006,0274,0000,0274,0274,
0018,2025/04/12 19:12,2025-04-12T19_12_00.000000000,01,117,012,0138,0000,0138,0138,
0017,2025/04/12 12:12,2025-04-12T12_12_00.000000000,03,200,034,0217,0099,0108,0480,
0016,2025/04/12 05:48,2025-04-12T05_48_00.000000000,01,201,032,0459,0102,0312,0651,
0015,2025/04/12 04:36,2025-04-12T04_36_00.000000000,03,259,024,0129,0036,0107,0229,
0014,2025/04/11 19:12,2025-04-11T19_12_00.000000000,02,200,006,0191,0215,0108,0612,
0013,2025/04/11 16:48,2025-04-11T16_48_00.000000000,00,023,008,0473,0227,0221,0822,
0012,2025/04/11 07:36,2025-04-11T07_36_00.000000000,01,027,008,0300,0130,0231,0538,
0011,2025/04/11 03:24,2025-04-11T03_24_00.000000000,02,206,006,0341,0254,0164,0790,
0010,2025/04/10 12:36,2025-04-10T12_36_00.000000000,01,053,016,0112,0006,0103,0120,
0009,2025/04/07 06:48,2025-04-07T06_48_00.000000000,00,035,008,0214,0000,0214,0214,
0008,2025/04/06 05:48,2025-04-06T05_48_00.000000000,01,115,016,0248,0000,0248,0248,
0007,2025/04/05 21:24,2025-04-05T21_24_00.000000000,01,104,006,0244,0040,0199,0312,
0006,2025/04/05 15:36,2025-04-05T15_36_00.000000000,02,117,020,0179,0131,0140,0459,
0005,2025/04/05 11:36,2025-04-05T11_36_00.000000000,02,119,020,0191,0053,0105,0271,
0004,2025/04/05 07:36,2025-04-05T07_36_00.000000000,01,074,010,0192,0016,0182,0224,
0003,2025/04/05 03:36,2025-04-05T03_36_00.000000000,01,014,010,0172,0028,0140,0213,
0002,2025/04/03 17:48,2025-04-03T17_48_00.000000000,01,254,006,0585,0076,0500,0694,
0001,2025/04/01 22:24,2025-04-01T22_24_00.000000000,01,106,010,0406,0130,0152,0496,
0028,2025/05/31 16:12,2025-05-31T16_12_00.000000000,00,081,008,0459,0000,0459,0459,
0027,2025/05/31 08:00,2025-05-31T08_00_00.000000000,01,088,010,0632,0055,0558,0726,
0026,2025/05/27 14:00,2025-05-27T14_00_00.000000000,02,067,008,0270,0017,0247,0297,
0025,2025/05/25 21:36,2025-05-25T21_36_00.000000000,03,266,022,0463,0791,0181,1736,
0024,2025/05/22 03:36,2025-05-22T03_36_00.000000000,01,353,008,0145,0000,0145,0145,
0023,2025/05/22 01:48,2025-05-22T01_48_00.000000000,02,357,008,0208,0048,0115,0247,
0022,2025/05/21 22:00,2025-05-21T22_00_00.000000000,02,009,020,0135,0033,0100,0210,
0021,2025/05/21 16:12,2025-05-21T16_12_00.000000000,02,076,310,1953,0000,1953,1953,IV
0020,2025/05/19 17:00,2025-05-19T17_00_00.000000000,01,065,012,0378,0106,0234,0508,
0019,2025/05/19 06:00,2025-05-19T06_00_00.000000000,01,339,012,0453,0052,0369,0504,
0018,2025/05/19 04:12,2025-05-19T04_12_00.000000000,04,296,070,0248,0067,0123,0322,
0017,2025/05/14 12:48,2025-05-14T12_48_00.000000000,01,110,006,0250,0117,0189,0473,
0016,2025/05/14 12:24,2025-05-14T12_24_00.000000000,01,041,036,0828,0283,0411,1498,
0015,2025/05/13 20:24,2025-05-13T20_24_00.000000000,01,277,020,0197,0156,0114,0512,
0014,2025/05/13 19:24,2025-05-13T19_24_00.000000000,01,048,018,0322,0166,0127,0578,
0013,2025/05/13 19:12,2025-05-13T19_12_00.000000000,01,008,006,0121,0041,0105,0202,
0012,2025/05/13 18:54,2025-05-13T18_54_00.000000000,01,270,010,0419,0049,0363,0488,
0011,2025/05/11 18:24,2025-05-11T18_24_00.000000000,00,346,010,0306,0040,0271,0381,
0010,2025/05/08 20:12,2025-05-08T20_12_00.000000000,01,262,006,0330,0000,0330,0330,
0009,2025/05/08 05:12,2025-05-08T05_12_00.000000000,01,214,006,0155,0053,0142,0261,
0008,2025/05/08 03:12,2025-05-08T03_12_00.000000000,01,046,010,0132,0017,0126,0164,
0007,2025/05/08 01:54,2025-05-08T01_54_00.000000000,01,029,008,0258,0012,0236,0267,
0006,2025/05/07 09:36,2025-05-07T09_36_00.000000000,01,011,012,0133,0019,0110,0170,
0005,2025/05/07 08:24,2025-05-07T08_24_00.000000000,01,014,006,0117,0028,0100,0169,
0004,2025/05/06 22:36,2025-05-06T22_36_00.000000000,03,331,016,0637,0367,0139,1249,
0003,2025/05/06 22:00,2025-05-06T22_00_00.000000000,00,332,010,0240,0037,0199,0312,
0002,2025/05/05 16:00,2025-05-05T16_00_00.000000000,01,030,010,0274,0038,0242,0355,
0001,2025/05/04 11:24,2025-05-04T11_24_00.000000000,01,108,010,0226,0008,0217,0240,
0031,2025/06/30 00:36,2025-06-30T00_36_00.000000000,01,340,006,0326,0158,0274,0638,
0030,2025/06/26 01:48,2025-06-26T01_48_00.000000000,01,291,012,0105,0013,0101,0130,
0029,2025/06/26 01:36,2025-06-26T01_36_00.000000000,01,325,016,0187,0252,0115,0637,
0028,2025/06/25 03:36,2025-06-25T03_36_00.000000000,01,263,012,1275,0531,0217,1329,
0027,2025/06/23 08:12,2025-06-23T08_12_00.000000000,01,267,008,0801,0000,0801,0801,
0026,2025/06/19 18:36,2025-06-19T18_36_00.000000000,01,117,012,0283,0060,0256,0395,
0025,2025/06/19 05:12,2025-06-19T05_12_00.000000000,00,305,008,0254,0016,0227,0262,
0024,2025/06/18 15:54,2025-06-18T15_54_00.000000000,01,319,024,0340,0079,0195,0411,
0023,2025/06/18 07:24,2025-06-18T07_24_00.000000000,01,323,016,0141,0023,0118,0180,
0022,2025/06/17 18:24,2025-06-17T18_24_00.000000000,01,075,012,0226,0004,0218,0228,
0021,2025/06/16 17:24,2025-06-16T17_24_00.000000000,01,117,012,0197,0029,0167,0248,
0020,2025/06/16 16:00,2025-06-16T16_00_00.000000000,02,347,020,0239,0000,0239,0239,
0019,2025/06/16 11:36,2025-06-16T11_36_00.000000000,01,121,020,1047,0530,0176,1644,
0018,2025/06/15 04:00,2025-06-15T04_00_00.000000000,01,252,054,0254,0015,0226,0289,
0017,2025/06/14 02:24,2025-06-14T02_24_00.000000000,01,010,006,0241,0086,0191,0405,
0016,2025/06/12 12:00,2025-06-12T12_00_00.000000000,03,227,036,0395,0118,0220,0612,
0015,2025/06/12 09:48,2025-06-12T09_48_00.000000000,01,235,012,1157,0655,0106,1644,
0014,2025/06/12 02:48,2025-06-12T02_48_00.000000000,00,071,012,0256,0011,0243,0275,
0013,2025/06/11 06:48,2025-06-11T06_48_00.000000000,01,068,010,0161,0065,0101,0254,
0012,2025/06/10 11:12,2025-06-10T11_12_00.000000000,02,056,022,0880,0265,0672,1562,
0011,2025/06/09 08:36,2025-06-09T08_36_00.000000000,00,030,018,1294,0000,1294,1294,
0010,2025/06/09 04:18,2025-06-09T04_18_00.000000000,00,092,014,0297,0048,0230,0381,
0009,2025/06/09 01:48,2025-06-09T01_48_00.000000000,01,118,014,0165,0029,0117,0206,
0008,2025/06/08 23:48,2025-06-08T23_48_00.000000000,01,097,024,0241,0059,0118,0322,
0007,2025/06/08 21:48,2025-06-08T21_48_00.000000000,01,189,008,0149,0018,0133,0181,
0006,2025/06/08 19:00,2025-06-08T19_00_00.000000000,02,187,008,0932,0606,0146,1736,
0005,2025/06/08 16:48,2025-06-08T16_48_00.000000000,01,259,008,1953,0000,1953,1953,
0004,2025/06/08 12:48,2025-06-08T12_48_00.000000000,01,188,006,0372,0047,0325,0441,
0003,2025/06/07 21:12,2025-06-07T21_12_00.000000000,01,053,008,0325,0064,0223,0376,
0002,2025/06/03 07:54,2025-06-03T07_54_00.000000000,01,027,016,0167,0017,0133,0196,
0001,2025/06/03 02:42,2025-06-03T02_42_00.000000000,03,034,010,0113,0000,0113,0114,
0002,2025/07/04 18:12,2025-07-04T18_12_00.000000000,01,175,020,0246,0044,0218,0351,
0001,2025/07/03 10:26,2025-07-03T10_26_00.000000000,01,340,018,0455,0173,0355,0890,
