Flow,t0,t0_iso,dt0,pa,da,v,dv,minv,maxv,halo
0014,2024/06/13 00:24,2024-06-13T00_24_00.000000000,02,282,006,0372,0046,0363,0452,
0013,2024/06/11 07:36,2024-06-11T07_36_00.000000000,01,191,012,0395,0060,0309,0440,
0012,2024/06/11 05:00,2024-06-11T05_00_00.000000000,01,202,010,0339,0115,0208,0504,
0011,2024/06/11 02:00,2024-06-11T02_00_00.000000000,00,256,014,0417,0112,0262,0548,
0010,2024/06/11 01:36,2024-06-11T01_36_00.000000000,00,309,028,1249,0749,0208,1953,
0009,2024/06/11 00:00,2024-06-11T00_00_00.000000000,02,261,016,0568,0091,0422,0679,
0008,2024/06/08 06:13,2024-06-08T06_13_00.000000000,03,045,044,0288,0321,0112,1166,
0007,2024/06/08 05:42,2024-06-08T05_42_00.000000000,02,108,030,0196,0063,0124,0343,
0006,2024/06/07 17:48,2024-06-07T17_48_00.000000000,01,283,012,0115,0024,0100,0169,
0005,2024/06/05 23:36,2024-06-05T23_36_00.000000000,01,228,022,0208,0095,0156,0400,
0004,2024/06/05 22:24,2024-06-05T22_24_00.000000000,02,248,022,0213,0027,0174,0257,
0003,2024/06/05 20:00,2024-06-05T20_00_00.000000000,04,222,042,0173,0017,0146,0204,
0002,2024/06/04 04:00,2024-06-04T04_00_00.000000000,00,076,014,0187,0033,0125,0225,
0001,2024/06/03 07:48,2024-06-03T07_48_00.000000000,01,045,020,0172,0012,0148,0177,
0036,2024/07/31 23:30,2024-07-31T23_30_00.000000000,02,204,006,0162,0018,0133,0181,
0035,2024/07/31 22:12,2024-07-31T22_12_00.000000000,01,202,006,0133,0012,0114,0146,
0034,2024/07/31 21:24,2024-07-31T21_24_00.000000000,00,285,008,0338,0003,0332,0341,
0033,2024/07/31 10:06,2024-07-31T10_06_00.000000000,00,112,010,0229,0000,0229,0229,
0032,2024/07/31 08:00,2024-07-31T08_00_00.000000000,03,185,008,0241,0011,0238,0260,
0031,2024/07/30 07:36,2024-07-30T07_36_00.000000000,01,151,008,1649,0191,1453,1953,
